article_number;title;journal;year;url;abstract;theory_type;research method
26;The Influence of Conversational Agents on Socially Desirable Responding;HICSS;2018;http://hdl.handle.net/10125/49925;Conversational agents (CAs) are becoming an increasingly common component in many information systems. The ubiquity of CAs in cell phones, entertainment systems, and messaging applications has led to a growing need to understand how design choices made when developing CAs influence user interactions. In this study, we explore the use case of CAs that gather potentially sensitive information from people—for example, in a medical interview. Using a laboratory experiment, we examine the influence of CA responsiveness and embodiment on the answers people give in response to sensitive and non-sensitive questions. The results show that for sensitive questions, the responsiveness of the CA increased the social desirability of the responses given by participants. ;Explanation;Laboratory experiment
25;Interactive Realistic Digital Avatars - Revisiting the Uncanny Valley;HICSS;2017;http://hdl.handle.net/10125/41216;The 40-year-old Uncanny Valley theory is influential in the discussion surrounding acceptance of realistic graphical agents. This theory was formulated by observing robots. While it has been shown to be valid when observing digital characters, little has been studied about acceptance when people interact with avatars, rather than simply observe a recording. The emerging technology that will soon be able to create realistic avatars challenges the conventional view built on this theory, that affinity is a function of ‘appearance’, necessitating a reevaluation of the dimensions of the problem. We introduce a broader theoretical foundation with an additional dimension, namely interactivity. Studies that have validated the Uncanny Valley used still images or clips from existing media, but did not explore interactivity. In this study we suggest that interactivity operates on an independent, orthogonal dimension to ‘appearance’, and that interaction can ‘overcome the valley’ in affinity due to matching and common human non-verbal cues. We hypothesize that these cause the user to process the avatar differently. We contribute to the literature a new way to theorize the relationship between avatar realism and affinity, including both avatar appearance and interaction, and outline a research design to study this relationship.;Explanation;Laboratory experiment
52;Intelligent Virtual Assistant for Gamified Environments;PACIS;2016;https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1384&context=pacis2016;Gamification aims at improving people's motivation and performance in certain tasks by introducing different mechanics taken from traditional games. Gamification has been successfully applied in different domains, such as education, marketing, and the workplace. In this paper we present an intelligent virtual assistant for gamified environments. This assistant will provide the players with help on the tasks they have to complete using natural language dialogues. The intelligent virtual assistant includes other advances technologies, such as sentiment analysis, and player's profile and interaction network analysis. This allows the assistant to analyze the sentiment polarity of each message submitted by the user, and to adapt its dialogues accordingly. It also allows the assistant to have knowledge about each player, including basic personal data and their social network. This allows the assistant to use those data in the dialogues to, for example, suggest players to ask for help to their friends, or even to suggest new friends to a player. We also present a case study in which the intelligent virtual assistant has been introduced in the gamified environment of a real company.;Design and Action;Case study
29;A NATURAL LANGUAGE-BASED MULTI-AGENT SYSTEM FOR LEGAL RESEARCH;AMCIS;2001;https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1522&context=amcis2001&httpsredir=1&referer=;Conducting legal research can be a complex task for seasoned attorneys, and is even more daunting for laypeople. The proliferation of online legal resources requires sorting through the mass of information to obtain the most relevant and meaningful information. Various search techniques can be used on the Internet to narrow and refine one’s search, but the syntax required to search online sources varies. An intelligent agent system could be used to ease the search process by reformulating natural language queries into the appropriate syntax to launch a comprehensive search of relevant online sources to obtain the pertinent information. This paper discusses the benefits to be gained by the use of such an intelligent agent and proposes an architecture for a multi-agent system that implements a natural language based approach for query processing, in conjunction with a domain ontology.;Design and Action;Case study
8;A Nice and Friendly Chat with a Bot: User Perceptions of AI-Based Service Agents;ICIS;2017;https://aisel.aisnet.org/icis2017/ServiceScience/Presentations/11/;As more organizations establish artificial intelligence-based service agents to offer an automated customer dialogue it is crucial to understand how users perceive this new form of technology-mediated communication. AI-based service agents interact in a similar way as humans in human-to-human chat conversations, but instead of a live person on the other end, a chat bot steers the communication based on artificial intelligence and Natural Language Interaction. By combining qualitative and quantitative methods, we examine this context and explore the role of perceived authenticity and its impact on users’ attitudinal and behavioral outcomes. Our results from the qualitative studies show that users infer the authenticity of the AI-based service agents based on two different categories of cues: (1) agent-related cues and (2) communication-related cues. We employ additional experimental studies to empirically test antecedents and consequences of authenticity perceptions in AI-based service encounters.;Explanation;Interview
53;Natural Language Interface for a Multi Agent System;AMCIS;2004;https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1791&context=amcis2004;This paper presents the natural language interface for an agent-based system, called MACS (Multi-Agent Contracting System). The MACS system is designed to provide advice in the pre-award phase of a defense contract. The original version of MACS allowed the users to query using only a list of predetermined keywords using pull-down menus. The second version of MACS incorporated a natural language interface in order to increase its usability. This study further enhances the natural language interface of MACS with a more robust parser. The paper presents the overall architecture of MACS and the parser used to further enhance the natural language interface.;Design and Action;Laboratory experiment
54;An Investigation of Conversational Agent Relevance, Presence, and Engagement;AMCIS;2018;https://aisel.aisnet.org/amcis2018/HCI/Presentations/12/;Conversational agents (CAs) are becoming an integral component of many personal and business interactions. Despite the prevalence of CAs in modern life, there are many factors related to the social nature of the interaction between CAs and humans that remain uninvestigated. This research uses Social Presence Theory to examine the effect of CA conversational relevance on perceptions of humanness and engagement. We performed a laboratory experiment in which participants interacted with a CA that gave either conversationally relevant or nonrelevant responses. Our results indicate that people perceive CAs that give conversationally relevant responses to be more humanlike and more socially present, ultimately leading to higher engagement than CAs that give nonrelevant responses.;Explanation;Laboratory experiment
55;Faster Is Not Always Better: Understanding the Effect of Dynamic Response Delays in Human-Chatbot Interaction;ECIS;2018;https://aisel.aisnet.org/ecis2018_rp/113/;A key challenge in designing conversational user interfaces is to make the conversation between the user and the system feel natural and human-like. In order to increase perceived humanness, many systems with conversational user interfaces (e.g., chatbots) use response delays to simu-late the time it would take humans to respond to a message. However, delayed responses may also negatively impact user satisfaction, particularly in situations where fast response times are expected, such as in customer service. This paper reports the findings of an online experiment in a customer service context that investigates how user perceptions differ when interacting with a chatbot that sends dynamically delayed responses compared to a chatbot that sends near-instant responses. The dynamic delay length was calculated based on the complexity of the re-sponse and complexity of the previous message. Our results indicate that dynamic response de-lays not only increase users’ perception of humanness and social presence, but also lead to greater satisfaction with the overall chatbot interaction. Building on social response theory, we provide evidence that a chatbot’s response time represents a social cue that triggers social re-sponses shaped by social expectations. Our findings support researchers and practitioners in understanding and designing more natural human-chatbot interactions.;Design and Action;Laboratory experiment
38;Designing Anthropomorphic Conversational Agents: Development and Empirical Evaluation of a Design Framework;ICIS;2018;https://aisel.aisnet.org/icis2018/hcri/Presentations/1/;Conversational agents (CA) interact in natural language. This emulation of human-to-human communication represents the distinct characteristic of CAs and makes research on CAs inseparable from questions regarding anthropomorphism – the attribution of human qualities to non-human agents. Consequently, meaningful research on CA design, perception and use, requires knowledge on how to control the degree of anthropomor- phism when designing CAs. Therefore, we develop a framework for the design of anthropomorphic CAs. Based on psychological theory of anthropomorphism and related studies on interface design, we identify three anthropomorphic design dimensions: human identity, non-verbal and verbal. Our empirical evaluation provides support for the relevance of these dimensions, but also reveals counterintuitive results. In particular, we find that the consideration of more anthropomorphic design dimensions does not necessarily increase anthropomorphism and some designs can even manifest a negative influence on anthropomorphism. We discuss our findings in detail and illustrate their relevance for research and practice.;Design and Action;Framework
56;Customer Responses to Robotic Innovative Behavior Cues During the Service Encounter;ICIS;2018;https://aisel.aisnet.org/icis2018/hcri/Presentations/2/;Innovative Service Behavior (ISB) and its influence on customer responses was examined in a laboratory study with 132 participants at the service encounter comparing human-robot interactions with human-human interactions. Using a 2 x 2 experimental design, with the humanoid service robot Pepper and a human frontline employee enacting innovative service conditions, the predicted effects on customer responses were examined. Customers responded generally positive on innovative service behavior cues and there were no significant differences in customer responses comparing human-robot interaction to human-human interaction. Furthermore, this study discovered discrepancies between expected and perceived innovative service behavior of the robot. A polynomial regression and a response surface analysis model were computed to examine the effects of this discrepancy on customer responses.;Design and Action;Framework
57;Alexa, Buy Me a Movie!: How AI Speakers Reshape Digital Content Consumption and Preference;ICIS;2018;https://aisel.aisnet.org/icis2018/economics/Presentations/9/;Technologies based on artificial intelligence (AI) have revolutionized how individuals use various services by enabling verbal command over machines. Although such alternative forms of human-machine interaction have begun to insinuate themselves into our lives, limited efforts have been directed toward examining their economic effects. This study takes off from the current state of scholarship by examining the effects of AI speaker usage on consumers’ content consumption and preference behaviors. To this end, we used the dual processing system and self-control dilemma frameworks to analyze a unique panel data set that comprises information on household patterns of digital content transaction, consumption, and AI usage. Our results indicate that the adoption of AI speakers is positively associated with increased digital content purchase but negatively related to the average rate of content completion. We also find a change in type of content purchased, with customers consuming a greater proportion of hedonic products. The findings on households’ AI usage patterns indicate that emotion-seeking interactions are more positively associated with purchase than information-seeking interactions. On the basis of our findings, we drew implications for the design of optimal voice commerce strategies and derive insights into effectively eliciting the economic value of the voice recognition market.;Explanation;Secondary data
58;User Interaction with AI-enabled Systems: A Systematic Review of IS Research;ICIS;2018;https://aisel.aisnet.org/icis2018/general/Presentations/7/;The improved performance of technological capabilities in the field of artificial intelligence (AI), including computer vision and natural language processing, makes it possible to enhance existing and to develop new types of information systems. We refer to such systems as AI-enabled systems. User interaction with these systems is an important topic for information systems (IS) research because they are supposed to bring about substantial change for individuals, organizations, and society. Despite the recent public and academic interest in AI, AI-enabled systems are not a new phenomenon. However, previous research is separated into research streams on different AI-enabled system types. We conducted a literature review to aggregate the dispersed knowledge regarding individual user interaction with such systems in IS research. Our results show common behavioral patterns in interactions between users and various types of AI-enabled systems and provide a solid foundation for future research on this topic.;Explanation;Literature analysis
59;A Natural Language Technology-enhanced Mobile Sales Assistant for In-store Shopping Situations;ECIS;2011;https://www.researchgate.net/publication/50233900_A_Natural_Language_Technology-enhanced_Mobile_Sales_Assistant_for_In-store_Shopping_Situations;Sales talks between customers and sales personnel are efficient and preferred means for exchanging information that is relevant for purchase decisions on non-commodity products. Dialogs used in sales talks are governed by complex and in many respects conflicting intentions on both sides. While previous Decision Support Systems (DSS) are designed by the principle of congruent intentions of communication partners, we present an approach that extends this by congruent and opposing intentions of communication partners. We use a design methodology for dialog-based purchase DSS that use Natural Language Technologies (NLT) for dynamically creating question-answer-based sales dialogs. It is first shown how dialog schemata are obtained by a field study and evaluated by subjects. In the second part, these schemata are integrated in a Natural Language Technology-enhanced Mobile Sales Assistant (NLT-MSA). The role of NLT-MSA is to take the position of a sales person with the task to balance congruent and conflicting intentions during sales dialogs. Results of a lab experiment (n=54) are discussed by which the use of a NLT-MSA prototype in sales situations were tested. As part of this study, test persons rated application domains for NLT-MSA that will guide future field experiments in the large;Design and Action;Laboratory experiment
60;Conversational User Interfaces for Online Shops? A Categorization of Use Cases;ICIS;2018;https://aisel.aisnet.org/icis2018/hcri/Presentations/7/;How do conversational user interfaces for online shops via messaging services and voice assistants influence customers’ satisfaction? Which use cases are attractive from a customer’s view point? Which use cases are must-be and for which customer segments? The answer to these questions is looked for in this paper. A Segmented Kano perspective is used to derive use case groups and related customer segments simultaneously. The paper starts with an overview on conversational commerce and on chatbots for this purpose. Then, the research method and the use case development is described. Two representative surveys with 2,165 customers of a major German online fashion retailer evaluating 13 messaging service and 2,025 customers evaluating 13 voice assistant use cases were conducted and analyzed. The focus was on the intention to use conversational user interfaces for online shops and the influence on customer satisfaction.;Explanation;Secondary data
61;Defining Bots in an Enterprise Context;ICIS;2018;https://aisel.aisnet.org/icis2018/impact/Presentations/5/;Technologies like “Apple Siri” or “Amazon Alexa” serve as digital assistants to enhance both accessibility and productivity. Yet, these technologies have to play with different rules in the enterprise context. Workflows within a digital workplace are different from what consumers are used to in a private surrounding. This concludes into the need for a definition for Enterprise Bots. In this short paper, we aim to provide insights in the current state of literature in this area and derive a definition for Enterprise Bots that is reusable by scholars and practitioners. Furthermore, we propose a research model based on the decomposed Theory of Planned Behavior, that both validates this definition and allows further insights into the topic of Enterprise Bots. Finally, we conclude by testing this model in a survey at a multi-national company and find that 10 of 12 used constructs are highly reliable.;Explanation;Literature analysis
46;Mediating Effect of Intelligent Voice Assistant (IVA), User Experience and Effective Use on Service Quality and Service Satisfaction and Loyalty;ICIS;2018;https://aisel.aisnet.org/icis2018/implement/Presentations/21/;Intelligent Voice Assistants (IVA) are voice-based Artificial Intelligence (AI) personal agents, programmed to act like humans in performing automated tasks. Popular examples are Siri, Alexa, Cortana and Google Assistant. The use of IVA on technology devices significantly change how users interact with search systems and other online services. Despite the proliferation of IVA in the U.S. and other western countries, there is limited research on the theoretical foundations of service quality as related to IVA platforms. We address this gap in the extant IS literature. This study aims to advance academic literature on how dimensions of IVA encounter could mediate between the service quality of online services and the resulting user service satisfaction and service loyalty. By understanding the different dimensions of IVA encounter, online service providers should be able to leverage the IVA benefits in their service content and delivery design to enhance the service quality delivered to their customers.;Explanation;Framework
62;Virtual Moderation Assistance: Creating Design Guidelines for Virtual Assistants Supporting Creative Workshops;PACIS;2018;https://aisel.aisnet.org/pacis2018/80/;To remain competitive, businesses need to develop innovative and profitable products, processes and services. The development of innovation relies on novel ideas, which can be generated during creative workshops. In this context the Design Thinking approach, a problem-solving methodology based on collaboration, user-centricity and creativity, may be used. However, guidance and moderation of this process require a vast amount of skills and knowledge. As technologies like artificial intelligence have the potential of making machines our collaboration partner in the future, creating virtual assistants adapting human behaviors is promising. To reduce cognitive dissonance and stress on both the moderators and participants, we investigate the potential of a virtual assistant to support moderation in a Design Thinking process to improve innovative output as well as perceived satisfaction. We therefore developed design guidelines for virtual assistants supporting creative workshops based on qualitative expert interviews and related literature following the Design Science Research Methodology.;Design and Action;Interview
63;A Proposed Theoretical Model of Discontinuous Usage of Voice-Activated Intelligent Personal Assistants (IPAs);PACIS;2018;https://aisel.aisnet.org/pacis2018/245/;Based on the contradictory phenomenon of rapid development of Voice-Activated Intelligent Personal Assistants (Voice-Activated IPAs) and discontinuous usage of it, this paper investigates the antecedents of discontinuous usage of Voice-Activated IPAs. We first analyze the topic of Siri usage discussion from Zhihu's Q&A website, and then propose a theoretical model which hypothesized that discontinuous usage of Voice-Activated IPAs are affected by perceived ambiguity, cognitive overload, privacy concern, social embarrassment and lack of integration. It is hypothesized that perceived ambiguity will exert nonlinear impacts on discontinuous usage. Meanwhile, perceived ambiguity is also affected by level of personification in a nonlinear way. Scale development and data collection would be conducted for the future work. It is expected that the results our research could provide theoretical and practical implications for the design of Voice-Activated IPAs.;Explanation;Secondary data
64;Alexa, Tell Me More: The Effect of Advertisements on Memory Accuracy from Smart Speakers;PACIS;2018;https://aisel.aisnet.org/pacis2018/204/;The smart speaker is currently one of the fastest-growing consumer technologies. As a result, more and more people are buying products through smart speakers. However, because voice commerce advertisements are not yet active, little is known about the effectiveness of smart speaker advertisements. This study assessed advertisement effectiveness using several distinctive features of the smart speaker: interactivity, contextually relevant advertisements, and voice changes. Study 1 illustrates that when users interact with an advertisement from the speaker, the effects of the advertisements are more significant than the effects of one-way advertisements, especially in the case of low involvement products. Study 2 further illustrated that contextually relevant advertisements increase the advertisement effectiveness from the smart speaker, while voice dissimilarity moderates the relationship between the contextual relevance and the effectiveness. These findings provide future directions for producing the new forms of advertisements and verifying advertisement effectiveness in the smart speaker environment.;Explanation;Laboratory experiment
65;Automated Facilitation for Idea Platforms: Design and Evaluation of a Chatbot Prototype;ICIS;2018;https://aisel.aisnet.org/icis2018/general/Presentations/8/;"While much prior research has shed light on how human facilitators can effectively guide people through ideation, human facilitation is hardly scalable to platform settings, such as on idea platforms. Thus, research and practice request solutions for more structured idea platform process support. This paper contributes to this need with the underlying DSR project by proposing the prototype of a chatbot for automated facilitation of the idea submission process to explore, if a chatbot is capable of facilitating humans. We derive requirements from literature, implement a chatbot prototype and train it with data from a prior Wizard-of-Oz study. We perform user tests and compare the results to the facilitation by human facilitators. This paper presents a proof-of-concept for chatbots as facil-itators. Furthermore, it provides insights on how to get from Wizard-of-Oz studies to developed chatbots; the requirements and limitations of non-human facilitation; and the level of acceptance by human participants.";Design and Action;Laboratory experiment
66;The Antecedents of Customer Self-Disclosure to Online Virtual Advisors.;ICIS;2009;http://aisel.aisnet.org/icis2009/2?utm_source=aisel.aisnet.org%2Ficis2009%2F2&utm_medium=PDF&utm_campaign=PDFCoverPages;This study proposes and tests a model of the antecedents to customer self-disclosure to an online virtual advisor during the requirements elicitation stage of a skin care product. In such a context, a customer is required to provide personal information for the advisor to identify a suitable skin care product. Consistent with the view of self-disclosure as a form of social exchange, we propose that a customer's intention to self-disclose is affected by the extent to which she believes the disclosures will enable her to obtain a better product, and her perceived information misuse risk. Furthermore, we posit that the customer's perception of the advisor's responsiveness acts both as an antecedent to her disclosure intentions, as well as her perceived benefits and costs. The results of an experimental investigation support the theoretical model.;Explanation;Laboratory experiment
24;Understanding user interactions with a chatbot: a self-determination theory approach;AMCIS;2018;https://aisel.aisnet.org/amcis2018/HCI/Presentations/3/;Artificial intelligence (AI) technology is advancing, and its application are widely used in many fields. AI chatbots powered by natural language processing are being integrated in numerous industries. AI chatbots help to improve customer services and enhance customer experiences. There is lack of study about the interactions between human and chatbots. As chatbots are designed to make interactions that are closer and more personal to the user, the way users communicate and interact with chatbots will differ from non-AI machines. Based on self-determination theory, this research aims to study the differences in system satisfaction between chatbot system and website system, and what factors determine satisfaction. The proposed research model hypothesizes the relationship between perceived autonomy, perceived competence, cognitive load, performance satisfaction, process satisfaction, and system satisfaction. It is proposed that the model will be tested using experimental survey.;Explanation;Laboratory experiment
40;Trust In and Adoption of Online Recommendation Agents;JAIS;2005;https://aisel.aisnet.org/jais/vol6/iss3/4/;"Online product recommendation agents are becoming increasingly prevalent on a wide range of websites. These agents assist customers in reducing information overload, providing advice to find suitable products, and facilitating online decision-making. Consumer trust in recommendation agents is an integral factor influencing their successful adoption. However, the nature of trust in technological artifacts is still an under-investigated and not well understood topic. Online recommendation agents work on behalf of individual users (principals) by reflecting their specific needs and preferences. Trust issues associated with online recommendation agents are complicated. Users may be concerned about the competence of an agent to satisfy their needs as well as its integrity and benevolence in regard to acting on their behalf rather than on behalf of a web merchant or a manufacture. This study extends the interpersonal trust construct to trust in online recommendation agents and examines the nomological validity of trust in agents by testing an integrated Trust-TAM (Technology Acceptance Model). The results from a laboratory experiment confirm the nomological validity of trust in online recommendation agents. Consumers treat online recommendation agents as "" social actors"" and perceive human characteristics (e.g., benevolence and integrity) in computerized agents. Furthermore, the results confirm the validity of Trust-TAM to explain online recommendation acceptance and reveal the relative importance of consumers' initial trust vis-¨¤-vis other antecedents addressed by TAM (i.e. perceived usefulness and perceived ease of use). Both the usefulness of the agents as ""tools"" and consumers' trust in the agents as ""virtual assistants"" are important in consumers' intentions to adopt online recommendation agents.";Explanation;Laboratory experiment
67;Attributions of Trust in Decision Support Technologies: A Study of Recommendation Agents for E-Commerce;JMIS;2008;https://www.jstor.org/stable/40398919;As organizations increasingly utilize Web-based technologies to support customers better, trust in decision support technologies has emerged as an important issue in online environments. In this study, we identify six reasons users trust (or do not trust) a technology in the early stages of its use by extending the theories of trust formation in interpersonal and organizational contexts to that of decision support technologies. We study the particular context of decision support technologies for e-commerce: online recommendation agents (RAs), which facilitate users' decision making by providing advice on what to buy based on user-specified needs and preferences. A laboratory experiment is conducted using a multimethod approach to collect data. Both quantitative data about participants' trust in RAs and written protocols that explain the reasons for their levels of trust are collected. A content analysis of the written protocols identifies both positive and negative trust attributions that are then mapped to six trust reasons. A structural equation modeling analysis is employed to test the causal strengths of the trust reasons in explaining participants' trust in RAs. The results reveal that in the early stages of trust formation, four positive reasons (i.e., knowledge-based, interactive, calculative, and dispositional) are associated with higher trust in RAs and two negative reasons (i.e., calculative and interactive) are associated with lower trust in RAs. The results also demonstrate some distinctive features of trust formation with respect to decision support technologies. We discuss the research and practical implications of the findings and describe opportunities for future research.;Explanation;Laboratory experiment
