title;link;abstract;topic
Overlap among major web search engines;https://doi.org/10.1108/10662240610690034;"Purpose
This paper reports the findings of a major study examining the overlap among results retrieved by three major web search engines. The goal of the research was to: measure the overlap across three major web search engines on the first results page overlap (i.e. share the same results) and the differences across a wide range of user defined search terms; determine the differences in the first page of search results and their rankings (each web search engine's view of the most relevant content) across single?source web search engines, including both sponsored and non?sponsored results; and measure the degree to which a meta?search web engine, such as Dogpile.com, provides searchers with the most highly ranked search results from three major single source web search engines.

Design/methodology/approach
The authors collected 10,316 random Dogpile.com queries and ran an overlap algorithm using the URL for each result by query. The overlap of first result page search for each query was then summarized across all 10,316 to determine the overall overlap metrics. For a given query, the URL of each result for each engine was retrieved from the database.

Findings
The percent of total results unique retrieved by only one of the three major web search engines was 85 percent, retrieved by two web search engines was 12 percent, and retrieved by all three web search engines was 3 percent. This small level of overlap reflects major differences in web search engines retrieval and ranking results.

Research limitations/implications
This study provides an important contribution to the web research literature. The findings point to the value of meta?search engines in web retrieval to overcome the biases of single search engines.

Practical implications
The results of this research can inform people and organizations that seek to use the web as part of their information seeking efforts, and the design of web search engines.

Originality/value
This research is a large investigation into web search engine overlap using real data from a major web meta?search engine and single web search engines that sheds light on the uniqueness of top results retrieved by web search engines.";search engine result page analysis
The Economics of Click Fraud;http://dx.doi.org/10.1109/MSP.2010.88;Click fraud is a substantial threat in the cyberworld. Here, the author examines the contexts, mechanisms, and processes associated with the click-fraud industry from an economics viewpoint. The nature of electronic channels, characterized by asymmetric hypermediation, provides a fertile ground for such fraud. Click fraud is arguably the cyberworld's biggest scam. Illegitimate clicks on pay-per-click (PPC) advertisements have rekindled debate about online advertising's effectiveness. Cybercriminals involved in diverse activities are expanding their operations into lucrative businesses in the PPC industry. At the heart of the click-fraud problem is the fact that site owners benefit from clicks made to ads on their sites. Search engine network partners, competitors, and unhappy employees can all generate illegitimate clicks. Here, I examine the contexts, mechanisms, and processes associated with the click-fraud industry from an economics viewpoint.;click fraud issues
The Glitch in On-line Advertising: A Study of Click Fraud in Pay-Per-Click Advertising Programs;https://doi.org/10.2753/JEC1086-4415130204;Click fraud is a growing concern for pay-per-click (PPC) advertising programs. An ethical behavior model is proposed that includes evaluation, consequences for others, subjective norms, and perceived behavioral control. The model, which integrates elements from the theory of reasoned action, the theory of planned behavior, and deterrence theory, was tested using data collected from 155 subjects who were familiar with PPC programs. The results can be used by PPC service providers and law-makers in developing strategies to curb this problem.;click fraud issues
Is There an On-line Advertisers' Dilemma? A Study of Click Fraud in the Pay-Per-Click Model;https://www.jstor.org/stable/27751287;This study develops a theoretical model, based on the theory of reasoned action and the concept of behavioral calculus, for understanding on-line advertiser behavior. Structural equation modeling and survey data are used to test hypotheses on how beliefs about on-line pay-per-click advertising shape the attitudes and subjective norms that lead advertisers to advertise on-line. The roles of trust, third-party tools, and support from search engine providers are explored. The study confirms that attitudes and subjective norms significantly influence intention to advertise on-line using the pay-per-click model, but trust in search engine providers and third-party monitoring and filtering tools are also found to have central roles. Trust can significantly increase the perceived benefits, in addition to its direct positive impact on attitude and subjective norms. The perceived effectiveness of third-party tools has a positive impact on attitude and trust, and thus on intention to advertise on-line.;click fraud issues
Information search and paid results � proposition and test of a hierarchy-of-effect model;https://doi.org/10.1007/s12525-009-0015-1;Search engines stand as the first entry point to internet resources for 70% of users. The results page is therefore an appealing place for advertising in the form of sponsored links also called paid results. Yet little academic knowledge has been developed to understand users� perceptions and behaviors toward sponsored links. In particular it is of foremost importance to delineate factors that influence click intention and behavior. This paper proposes a hierarchy-of-effects model in order to understand surfers� click on sponsored links. An empirical study is conducted over 349 participants confronted to three different Search Engine Result Pages (SERP) representing three search situations. Results indicate a significant relationship between attitude toward sponsored links and behavioral intention. In addition, past satisfaction is found to significantly predict click behavior. The contribution of this study for both researchers and practitioners is discussed.;web searchers' behaviour and practice
Sponsored Search: Is Money a Motivator for Providing Relevant Results?;http://dx.doi.org/10.1109/MC.2007.290;"Analysis of data from a major metasearch engine reveals that sponsored-link click-through rates appear lower than previously reported. Combining sponsored and nonsponsored links in a single listing, while providing some benefits to users, does not appear to increase clicks on sponsored listings. In a competitive market, rivals continually strive to improve their information-retrieval capabilities and increase their financial returns. One innovation is sponsored search, an ""economics meets search"" model in which content providers pay search engines for user traffic going from the search engine to their Web sites. Sponsored search has proven to be a successful business model for Web search engines, advertisers, and online vendors, as well as an effective way to deliver content to searchers. The ""impact of sponsored search"" sidebar describes some of the model's notable benefits.";web searchers' behaviour and practice
The intention to click on sponsored ads�A study of the role of prior knowledge and of consumer profile;https://doi.org/10.1016/j.jretconser.2010.06.002;The activity of e-tailers relies entirely on their ability to attract potential consumers to their websites. This research addresses online consumer reactions toward today�s major online advertising tool that is sponsored ads. It examines the moderating role of prior knowledge. An online survey is conducted on 272 actual Internet users. The results support the moderating role of prior knowledge and suggest that when Internet users are knowledgeable of sponsored links and hold a favorable attitude toward them, the positive impact on click intention is reinforced. The profile of favorable surfers is very close to the one of online shoppers.;web searchers' behaviour and practice
Advertisers' perceptions of search engine marketing;http://dx.doi.org/10.1504/IJIMA.2009.021952;The objective of this study is to examine advertisers' perceptions of search engine marketing. The theoretical part of the study investigates the two aspects of search engine marketing, namely advertising and optimisation. With the use of a qualitative case study conducted with leading search engine marketers and experts in Finland, the paper suggests that search engine marketing is still in its infancy among Finnish companies. Whereas small-sized dot-com companies operating in the Business-to-Business (B2B) sector have been most active in search engine marketing, traditional brick-and-mortars are just starting to set plans for search engine marketing. Finally, the study discusses the implications and provides future research directions.;advertisers' behaviour and practice
The use of digital channels to create customer relationships;http://dx.doi.org/10.1504/IJIMA.2010.030430;The interest in relationship marketing and especially relationship dynamics among academics and practitioners is growing. The focus is on expanding maintaining relationships to the whole relationship life cycle, including relationship initiation. However, research concerning relationships in a digital context or in a context where customer-company interactions occur through technology interfaces is scarce. To our knowledge there is no research on how the relationships begin in such a context. This paper explores the role of digital channels in the creation of customer relationships. Digital channels denote methods for customer-company interactions through technology interfaces such as e-mail, Short Message Service (SMS), and webpages. An exploratory qualitative study was conducted with business executives. The findings indicate that identifying relationship initiation is challenging and that the initiation differs between Business-to-Business (B2B) and Business-to-Customer (B2C) relationships. Digital and interpersonal contacts are frequently used simultaneously in creating customer relationships. Digital marketing activities such as search engine advertisements and direct e-mails are important. The paper integrates a digital perspective to relationship dynamics research. It contributes to e-service research by focusing on relationship dynamics. It also extends relationship marketing research by exploring relationship initiation.;advertisers' behaviour and practice
Bringing Patient Recruitment into Our Digital World;https://doi.org/10.1177/009286150904300416;"Every day people search the Internet, seeking information, support, and treatment for many different diseases. Digital strategies, such as search engine marketing databases and web design, are effective ways to reach potential patients; pharmaceutical and biotechnology companies who do not include digital strategies are missing important patient targeting opportunities. This article explores the convergence of old and new media, and how new media affect and will continue to affect patient recruitment. Executing a digital strategy requires specialized skills, knowledge, and tools to effectively communicate with potential online study participants.";real outcomes of search engine advertising
Economic and Business Dimensions Search Engine Advertising;http://dx.doi.org/10.1145/1400214.1400222;Search engine advertising, identifying and using customer's own search terms to match customer's interest with advertisers, have an advantage over other online advertising. An examination of match difficult affecting an advertiser decision is done by using data from a Web site portal and combining the data with information about the popularity of the search terms. A correlation in the data between a lack of searches and higher prices is found and a casual link is established by exploiting a natural experiment resulting from the user behavior. Search engine advertising is most valuable when firms have a few hard-to-reach customers, such that match difficulty between ad prices and regulations needs to be addressed. The profitability of search markets for search engines is highly dependent on the availability of alternative marketing communications channels that are online and offline.;real outcomes of search engine advertising
Intelligent-Commerce Research in China;https://doi.org/10.1109/MIS.2008.106;Recent years have witnessed the increased application of AI technologies to real-world e-commerce challenges. This article presents a brief overview of representative work by Chinese researchers, covering topics such as multiagent decision making, keyword advertising, social networks, recommender systems, information retrieval and the semantic Web, and computational experiments. This article is part of a special issue on AI in China.;reviews on search engine advertising
Sponsored search: an overview of the concept, history, and technology;https://doi.org/10.1504/IJEB.2008.018068;The success of sponsored search has radically affected how people interact with the information, websites, and services on the web. Sponsored search provides the necessary revenue streams to web search engines and is critical to the success of many online businesses. However, there has been limited academic examination of sponsored search, with the exception of online auctions. In this paper, we conceptualise the sponsored search process as an aspect of information searching. We provide a brief history of sponsored search and an extensive examination of the technology making sponsored search possible. We critique this technology, highlighting possible implications for the future of the sponsored search process.;reviews on search engine advertising
And Then There Were Three;https://doi.org/10.1109/MC.2009.36;"Consolidation in the search engine industry poses a serious threat to the quality of information available to citizens and scientists and to the ability of individuals and organizations to exercise the right of free speech. It makes little difference whether there is a monopoly of one or an oligopoly of three search engine companies. In either case, there is a need for oversight or regulation, or for increased search engine competition. If a ""natural monopoly"" on searches exists, the public interest would best be served by government oversight; if a monopoly or oligopoly is not natural to the provisioning of search technology, competition should be stimulated and nurtured. However, if market forces do not work to inhibit monopoly or oligopoly, controls should be imposed on the dominant firms. Such control could take the form of regular performance testing to ensure unbiased search results and the absence of impediments to the exercise of free speech.";reviews on search engine advertising
Technical, Automatic and Passive: Liability of Search Engines for Hosting Infringing Content in the Light of the Google Ruling;https://www.researchgate.net/publication/49596641_Technical_Automatic_and_Passive_Liability_of_Search_Engines_for_Hosting_Infringing_Content_in_the_Light_of_the_Google_ruling;The present contribution discusses the latest ruling of the European Court of Justice in the case of Google, which may have deeper consequences for advertisers relying on AdWords service, as well as for providers of similar services around the globe. The Court ruling may turn out to be even more important for Web 2.0 service providers as it seems to have opened the possibility of applying for a legal protection under Article 14 of the Ecommerce Directive. European judges made it clear that sponsored links services are information society services and that they may fall under the sphere of application of hosting safe haven provided that their activities are of technical, automatic and passive nature understood as a lack of knowledge or control over the data stored. This statement is yet to be applied by French courts that will have to establish whether Google AdWords service is really neutral and hence deserves a special legal treatment.;legal aspects of engine advertising
