article_number;title;authors;journal;year;url;abstract;theory_type;type_mod
30036538;Trust and the Unintended Effects of Behavior Control in Virtual Teams;Gabriele Piccoli and Blake Ives;MISQ;2003;https://www.jstor.org/stable/30036538;This article reports the findings of a longitudinal study of temporary virtual teams and explores the role of behavior control on trust decline. We conducted an experiment involving 51 temporary virtual teams. Half of the teams were required to comply with behavior control mechanisms traditionally used in colocated teams. Their counterparts were allowed to self-direct. Our analysis shows that the behavior control mechanisms typically used in traditional teams have a significant negative effect on trust in virtual teams. In-depth analysis of the communication logs of selected teams reveals that trust decline in virtual teams is rooted in instances of reneging and incongruence. Behavior control mechanisms increase vigilance and make instances when individuals perceive team members to have failed to uphold their obligations (i.e., reneging and incongruence) salient. Heightened vigilance and salience increase the likelihood that team members' failure to fulfill their obligations will be detected, thus contributing to trust decline.;EP;Explanation and Prediction
30036539;The Influence of Query Interface Design on Decision-Making Performance;Cheri Speier and Michael G. Morris;MISQ;2003;https://www.jstor.org/stable/30036539;"Managers in modern organizations are confronted with ever-increasing volumes of information that they must evaluate when making a decision. Data warehousing and data mining technologies have given managers a number of valuable tools that can help them store, retrieve, and analyze information contained in large databases; however, maximizing user performance with these tools remains a challenge for information systems professionals. One important and under-explored aspect of the effectiveness of these tools is the design of the query interface. In this study, we compared the use of visual and text-based interfaces on both low and high complexity tasks. Results demonstrated that decision maker performance was more accurate using the text-based interface when task complexity was low; however, decision makers using the visual interface performed better when task complexity was high. In addition, decision makers'subjective mental workload was significantly lower when using the visual interface, regardless of task complexity. In contrast to expectations, less time was needed to make a decision on low complexity tasks when using the visual interface, but those results were reversed under conditions of high task complexity. These results have important implications for the design of managerial decision-making systems, particularly in complex decision-making environments.";EP;Explanation and Prediction
30036540;User Acceptance of Information Technology: Toward a Unified View;Viswanath Venkatesh, Michael G. Morris, Gordon B. Davis and Fred D. Davis;MISQ;2003;https://www.jstor.org/stable/30036540;Information technology (IT) acceptance research has yielded many competing models, each with different sets of acceptance determinants. In this paper, we (1) review user acceptance literature and discuss eight prominent models, (2) empirically compare the eight models and their extensions, (3) formulate a unified model that integrates elements across the eight models, and (4) empirically validate the unified model. The eight models reviewed are the theory of reasoned action, the technology acceptance model, the motivational model, the theory of planned behavior, a model combining the technology acceptance model and the theory of planned behavior, the model of PC utilization, the innovation diffusion theory, and the social cognitive theory. Using data from four organizations over a six-month period with three points of measurement, the eight models explained between 17 percent and 53 percent of the variance in user intentions to use information technology. Next, a unified model, called the Unified Theory of Acceptance and Use of Technology (UTAUT), was formulated, with four core determinants of intention and usage, and up to four moderators of key relationships. UTAUT was then tested using the original data and found to outperform the eight individual models (adjusted R of 69 percent). UTAUT was then confirmed with data from two new organizations with similar results (adjusted R of 70 percent). UTAUT thus provides a useful tool for managers needing to assess the likelihood of success for new technology introductions and helps them understand the drivers of acceptance in order to proactively design interventions (including training, marketing, etc.) targeted at populations of users that may be less inclined to adopt and use new systems. The paper also makes several recommendations for future research including developing a deeper understanding of the dynamic influences studied here, refining measurement of the core constructs used in UTAUT, and understanding the organizational outcomes associated with new technology use.;EP;Explanation and Prediction
30036548;The Contingent Effects of Management Support and Task Interdependence on Successful Information Systems Implementation;Rajeev Sharma and Philip Yetton;MISQ;2003;https://www.jstor.org/stable/30036548;Management support is considered to be a critical factorin the successful implementation of information systems innovations. The literature suggests a complex relationship between management support and implementation success. However, the empirical literature typically hypothesizes and tests a simple main-effects model. Drawing upon the role of the institutional context and metastructuration actions, we propose a contingent model in which task interdependence moderates the effect of management support on implementation success. A meta-analysis of the empirical literature provides strong support for the model and begins to explain the wide variance in empirical findings. Implications for theory and practice are discussed.;EP;Explanation and Prediction
30036549;The Disruptive Nature of Information Technology Innovations: The Case of Internet Computing in Systems Development Organizations;Kalle Lyytinen and Gregory M. Rose;MISQ;2003;https://www.jstor.org/stable/30036549;Information technology (IT) innovation can be defined as the creation and new organizational application of digital computer and communication technologies. The paper suggests that IT innovation theory needs to be expanded to analyze IT innovations in kind that exhibit atypical discontinuities in IT innovation behaviors by studying two questions. First, can a model of disruptive IT innovations be created to understand qualitative changes in IT development processes and their outcomes so that they can be related to architectural discontinuities in computing capability? Second, to what extent can the observed turmoil among systems development organizations that has been spawned by Internet computing be understood as a disruptive IT innovation? Second, to what extent can the observed turmoil among systems development organizations that has been spawned by Internet computing be understood as a disruptive IT innovation? To address the first question, a model of disruptive IT innovation is developed. The model defines a disruptive IT innovation as an architectural innovation originating in the information technology base that has subsequent pervasive and radical impacts on development processes and their outcomes. These base innovations establish necessary but not sufficient conditions for subsequent innovation behaviors. To address the second question, the impact of Internet computing on eight leading-edge systems development organizations in the United States and Finland is investigated. The study shows that the adoption of Internet computing in these firms has radically impacted their IT innovation both in development processes and services.;EP;Explanation and Prediction
30036551;The Value Relevance of Announcements of Transformational Information Technology Investments;Bruce Dehning, Vernon J. Richardson and Robert W. Zmud;MISQ;2003;https://www.jstor.org/stable/30036551;In this paper, we examine the influence of IT strategic role to extend the findings of Im et al. (2001), Chatterjee et al. (2002) and Dos Santos et a!. (1993). Specifically, we demonstrate that IT strategic role can explain how IT investments in each of the IT strategic roles might affect the firm's competitive position and ultimately firm value. We find positive, abnormal returns to announcements of lT investments by firms making transformative IT investments, and with membership in industries with transform IT strategic roles. The results of previous research are not found to be significant when IT strategic role is included as an explanatory variable. These results provide support for the value of capturing the IT strategic role of a firm's IT-related competitive maneuvering in studies striving to understand the conditions under which IT investments are likely to produce out-of-the-ordinary, positive returns.;EP;Explanation and Prediction
30036552;Sources of Influence on Beliefs about Information Technology Use: An Empirical Study of Knowledge Workers;William Lewis, Ritu Agarwal and V. Sambamurthy;MISQ;2003;https://www.jstor.org/stable/30036552;Individual beliefs about technology use have been shown to have a profound impact on subsequent behaviors toward information technology (IT). This research note builds upon and extends prior research examining factors that influence key individual beliefs about technology use. It is argued that individuals form beliefs about their use of information technologies within a broad milieu of influences emanating from the individual, institutional, and social contexts in which they interact with IT. We examine the simultaneous effects of these three sets of influences on beliefs about usefulness and ease of use in the context of a contemporary technology targeted at autonomous knowledge workers. Our findings suggest that beliefs about technology use can be influenced by top management commitment to new technology and the individual factors of personal innovativeness and self-efficacy. Surprisingly, social influences from multiple sources exhibited no significant effects. Theoretical and practical implications are offered.;EP;Explanation and Prediction
25148623;User Heterogeneity and Its Impact on Electronic Auction Market Design: An Empirical Exploration;Ravi Bapna, Paulo Goes, Alok Gupta and Yiwei Jin;MISQ;2004;https://www.jstor.org/stable/25148623;While traditional information systems research emphasizes understanding of end users from perspectives such as cognitive fit and technology acceptance, it fails to consider the economic dimensions of their interactions with a systems. When viewed as economic agents who participate in electronic markets, it is easy to see that users' preferences, behaviors, personalities, and ultimately their economic welfare are intricately linked to the design of information systems. We use a data-driven, inductive approach to develop a taxonomy of bidding behavior in online auctions. Our analysis indicates significant heterogeneity exists in the user base of these representative electronic markets. Using online auction data from 1999 and 2000, we find a stable taxonomy of bidder behavior containing five types of bidding strategies. Bidders pursue different bidding strategies that, in aggregate, realize different winning likelihoods and consumer surplus. We find that technological evolution has an impact on bidders' strategies. We demonstrate how the taxonomy of bidder behavior can be used to enhance the design of some types of information systems. These enhancements include developing user-centric bidding agents, inferring bidders' underlying valuations to facilitate real-time auction calibration, and creating low-risk computational platforms for decision making.;Analysis;Analysis
25148624;How Do Suppliers Benefit from Information Technology Use in Supply Chain Relationships?;Mani Subramani;MISQ;2004;https://www.jstor.org/stable/25148624;Supply chain management systems (SCMS) championed by network leaders in their supplier networks are now ubiquitous. While prior studies have examined the benefits to network leaders from these systems, little attention has been paid to the benefits to supplier firms. This study draws from organizational theories of learning and action and transaction cost theory to propose a model relating suppliers' use of SCMS to benefits. It proposes that two patterns of SCMS use by suppliers-exploitation and exploration-create contexts for suppliers to make relationship-specific investments in business processes and domain knowledge. These, in turn, enable suppliers to both create value and retain a portion of the value created by the use of these systems in interfirm relationships. Data from 131 suppliers using an SCMS implemented by one large retailer support hypotheses that relationship-specific intangible investments play a mediating role linking SCMS use to benefits. Evidence that patterns of information technology use are significant determinants of relationship-specific investments in business processes and domain expertise provides a finer-grained explanation of the logic of IT-enabled electronic integration. The results support the vendors-to-partners thesis that IT deployments in supply chains lead to closer buyer-supplier relationships (Bakos and Brynjyolfsson 1993). The results also suggest the complementarity of the transaction-cost and resource-based views, elaborating the logic by which specialized assets can also be strategic assets.;EP;Explanation and Prediction
25148632;GIST: A Model for Design and Management of Content and Interactivity of Customer-Centric Web Sites;Terri C. Albert, Paulo B. Goes and Alok Gupta;MISQ;2004;https://www.jstor.org/stable/25148632;Customer-centric Web-based systems, such as e-commerce Web sites, or sites that support customer relationship management (CRM) activities, are themselves information systems, but their design and maintenance need to follow vastly different approaches from the traditional systems lifecycle approach. Based on marketing frameworks that are applicable to the online world, and following design science principles, we develop a model to guide the design and the continuous management of such sites. The model makes extensive use of current technologies for tracking the customers and their behaviors, and combines elements of data mining and statistical analyses. A case study based on a financial services Web site is used to provide a preliminary validation and design evaluation of our approach. The case study showed considerable measured improvement in the effectiveness of the company's Web site. In addition, it also highlighted an important benefit of the our approach: the identification of previously unknown or unexpected segments of visitors. This finding can lead to promising new business opportunities.;Design;Design
25148633;A Field Study of the Effect of Interpersonal Trust on Virtual Collaborative Relationship Performance;David L. Paul and Reuben R. McDaniel, Jr.;MISQ;2004;https://www.jstor.org/stable/25148633;This article examines the relationship between interpersonal trust and virtual collaborative relationship (VCR) performance. Findings from a study of 10 operational telemedicine projects in health care delivery systems are presented. The results presented here confirm, extend, and apparently contradict prior studies of interpersonal trust. Four types of interpersonal trust-calculative, competence, relational, and integrated-are identified and operationalized as a single construct. We found support for an association between calculative, competence, and relational interpersonal trust and performance. Our finding of a positive association between integrated interpersonal trust and performance not only yields the strongest support for a relationship between trust and VCR performance but also contradicts prior research. Our findings indicate that the different types of trust are interrelated in that positive assessments of all three types of trust are necessary if VCRs are to have strongly positive performance. The study also established that if any one type of trust is negative, then it is very likely that VCR performance will not be positive. Our findings indicate that integrated types of interpersonal trust are interdependent, and the various patterns of interaction among them are such that they are mutually reinforcing. These interrelationships and interdependencies of the different types of interpersonal trust must be taken into account by researchers as they attempt to understand the impact of trust on virtual collaborative relationship performance.;EP;Explanation and Prediction
25148634;Understanding Changes in Belief and Attitude toward Information Technology Usage: A Theoretical Model and Longitudinal Test;Anol Bhattacherjee and G. Premkumar;MISQ;2004;https://www.jstor.org/stable/25148634;User beliefs and attitudes are key perceptions driving information technology usage. These perceptions, however, may change with time as users gain first-hand experience with IT usage, which, in turn, may change their subsequent IT usage behavior. This paper elaborates how users' beliefs and attitudes change during the course of their IT usage, defines emergent constructs driving such change, and proposes a temporal model of belief and attitude change by drawing on expectation-disconfirmation theory and the extant IT usage literature. Student data from two longitudinal studies in end-user computing (computer-based training system usage) and system development (rapid application development software usage) contexts provided empirical support for the hypothesized model, demonstrated its generalizability across technologies and usage contexts, and allowed us to probe context-specific differences. Content analysis of qualitative data validated some of our quantitative results. We report that emergent factors such as disconfirmation and satisfaction are critical to understanding changes in IT users' beliefs and attitudes and recommend that they be included in future process models of IT usage.;EP;Explanation and Prediction
25148635;The Effect of Relationship Encoding, Task Type, and Complexity on Information Representation: An Empirical Evaluation of 2D and 3D Line Graphs;Nanda Kumar and Izak Benbasat;MISQ;2004;https://www.jstor.org/stable/25148635;"Most of the recent research in data visualization has focused on technical and aesthetic issues involved in the manipulation of graphs, specifically on features that facilitate data exploration to make graphs interactive and dynamic. The present research identifies a gap in the existing knowledge of graph construction, namely potential problems in both 3D and 2D graphs that will impede comprehension of information when three or more variables are used in a graphical representation. Based on theories regarding perceptual issues of graph construction (Bertin 1981; Pinker 1991), we evaluate specific cases where 3D graphs may outperform 2D graphs, and vice-versa. Two experiments have been conducted to test these hypotheses, and 3D graphs have been found to consistently outperform 2D graphs in all of our experimental scenarios. A third experiment has been conducted to identify situations where 2D graphs might perform at least as well as 3D graphs, but its results suggest that 3D graphs outperform 2D graphs even for simple tasks, thus leading to the conclusion that 3D graphs perform better than 2D graphs under all task conditions with more than two variables.";EP;Explanation and Prediction
23015727;Decentralized Mechanism Design for Supply Chain Organizations Using an Auction Market;Ming Fan, Jan Stallaert and Andrew B. Whinston;ISR;2003;https://www.jstor.org/stable/23015727;Traditional development of large-scale information systems is based on centralized information processing and decision making. With increasing competition, shorter product life-cycle, and growing uncertainties in the marketplace, centralized systems are inadequate in processing information that grows at an explosive rate and are unable to make quick responses to real-world situations. Introducing a decentralized information system in an organization is a challenging task. It is often intertwined with other organizational processes. The goal of this research is to outline a new approach in developing a supply chain information system with a decentralized decision making process. Particularly, we study the incentive structure in the decentralized organization and design a market-based coordination system that is incentive aligned, i.e., it gives the participants the incentives to act in a manner that is beneficial to the overall system. We also prove that the system monotonically improves the overall organizational performance and is goal congruent.;Design;Design
23015728;XML-Based Schema Definition for Support of Interorganizational Workflow;W.M.P. van der Aalst and Akhil Kumar;ISR;2003;https://www.jstor.org/stable/23015728;"The full potential of the Web as a medium for electronic commerce can be realized only when multiple partners in a supply chain can route information among themselves in a seamless way. Commerce on the Internet is still far from being ""friction free,"" because business partners cannot exchange information about their business processes in an automated manner. In this paper, we propose the design for an exchangeable Routing Language (XRL) using extensible Markup Language (XML) syntax. XML is a means for trading partners to exchange business data electronically. The novel contribution of our work is to show how XML can also be used to describe workflow process schemas to support flexible routing of documents in the Internet environment. The design of XRL is grounded in Petri nets, which is a well-known formalism. By using this formalism, it is possible to analyze correctness and performance of workflows described in XRL. Architectures to facilitate interoperation through loose and tight integration are also discussed. Examples illustrate how this approach can be used for implementing interorganizational electronic commerce applications. As a proof of concept, we have also developed XRL/flower, a prototype implementation of a workflow management system based on XRL.";Design;Design
23015729;Informational Influence in Organizations: An Integrated Approach to Knowledge Adoption;Stephanie Watts Sussman and Wendy Schneier Siegal;ISR;2003;https://www.jstor.org/stable/23015729;This research investigates how knowledge workers are influenced to adopt the advice that they receive in mediated contexts. The research integrates the Technology Acceptance Model (Davis 1989) with dual-process models of informational influence (e.g., Petty and Cacioppo 1986, Chaiken and Eagly 1976) to build a theoretical model of information adoption. This model highlights the assessment of information usefulness as a mediator of the information adoption process. Importantly, the model draws on the dual-process models to make predictions about the antecedents of informational usefulness under different processing conditions. The model is investigated qualitatively first, using interviews of a sample of 40 consultants, and then quantitatively on another sample of 63 consultants from the same international consulting organization. Data reflect participants' perceptions of actual e-mails they received from colleagues consisting of advice or recommendations. Results support the model, suggesting that the process models used to understand information adoption can be generalized to the field of knowledge management, and that usefulness serves a mediating role between influence processes and information adoption. Organizational knowledge work is becoming increasingly global. This research offers a model for understanding knowledge transfer using computer-mediated communication.;EP;Explanation and Prediction
23015730;When Subordinates Become IT Contractors: Persistent Managerial Expectations in IT Outsourcing;Violet T. Ho, Soon Ang and Detmar Straub;ISR;2003;https://www.jstor.org/stable/23015730;This paper investigates the persistence of managerial expectations in an IT outsourcing context where the traditional relationship between supervisor and subordinate changes to one of client-manager and contractor. A mixed-method approach was used, in which a qualitative methodology preceded a large-scale quantitative survey. Data were collected from 147 survivors of a government IT organization which had undergone IT outsourcing in the previous year. Findings show that role overload, the presence of strong ties between manager and contractor, and the lack of prior outsourcing experience increased the persistence of managerial expectations. In turn, persistence of expectations had a distinct influence on managerial perceptions of contractor performance.;EP;Explanation and Prediction
23015731;The Social Construction of Meaning: An Alternative Perspective on Information Sharing;Shaila M. Miranda and Carol S. Saunders;ISR;2003;https://www.jstor.org/stable/23015731;"Research on information sharing has viewed this activity as essential for informing groups on content relevant to a decision. We propose and examine an alternate function of information sharing, i.e., the social construction of meaning. To accomplish this goal, we turn to social construction, social presence, and task closure theories. Drawing from these theories, we hypothesize relationships among the meeting environment, breadth and depth of information shared during a meeting, and decision quality. We explore these relationships in terms of the effects of both the media environment in which the group is situated and the medium that group members choose to utilize for their communication. Our study of 32, 5- and 6-person groups supports our belief that interpretation underlies information sharing and is necessary for favorable decision outcomes. It also supports the proposed negative effect of low social presence media on interpretation in terms of depth of information sharing; a low social presence medium, however, promotes information sharing breadth. Finally, the findings indicate that when in multimedia environments and faced with a relatively complex task, choosing to utilize an electronic medium facilitates closure and, therefore, favorable outcomes.";EP;Explanation and Prediction
23015732;Information Goods Pricing and Copyright Enforcement: Welfare Analysis;Yeh-ning Chen and Ivan Png;ISR;2003;https://www.jstor.org/stable/23015732;We consider how the government should set the fine for copying, tax on copying medium, and subsidy on legitimate purchases, whereas a monopoly publisher sets price and spending on detection. There are two segments of potential software users—ethical users who will not copy, and unethical users who would copy if the benefit outweighs the cost. In deciding on policy, the government must consider how the publisher adjusts price and detection to changes in the fine, tax, and subsidy. Our key welfare result is that increases in detection affect welfare more negatively than price cuts. We also show that the tax is welfare superior to the fine, and that a subsidy is optimal. Generally, government policies that focus on penalties alone will miss the social welfare optimum.;Design;Design
23011464;Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research;Rajiv Kohli and Sarv Devaraj;ISR;2003;https://www.jstor.org/stable/23011464;Payoffs from information technology (IT) continue to generate interest and debate both among academicians and practitioners. The extant literature cites inadequate sample size, lack of process orientation, and analysis methods among the reasons some studies have shown mixed results in establishing a relationship between IT investment and firm performance. In this paper we examine the structural variables that affect IT payoff through a metaanalysis of 66 firm-level empirical studies between 1990 and 2000. Employing logistic regression and discriminant analyses, we present statistical evidence of the characteristics that discriminate between IT payoff studies that observed a positive effect and those that did not. In addition, we conduct ordinary least squares (OLS) regression on a continuous measure of IT payoff to examine the influence of structural variables on the result of IT payoff studies. The results indicate that the sample size, data source (firm-level or secondary), and industry in which the study is conducted influence the likelihood of the study finding greater improvements on firm performance. The choice of the dependent variable(s) also appears to influence the outcome (although we did not find support for process-oriented measurement), the type of statistical analysis conducted, and whether the study adopted a cross-sectional or longitudinal design. Finally, we present implications of the findings and recommendations for future research.;EP;Explanation and Prediction
