title;link;abstract;type
Towards Deep Learning Interpretability: A Topic Modeling Approach;https://aisel.aisnet.org/icis2019/data_science/data_science/26/;The recent development of deep learning has achieved the state-of-the-art performance in various machine learning tasks. The IS research community has started to leveraged deep learning-based text mining for analyzing textual documents. The lack of interpretability is endemic among the state-of-the-art deep learning models, constraining model improvement, limiting additional insights, and prohibiting adoption. In this study, we propose a novel text mining research framework, Neural Topic Embedding, capable of extracting useful and interpretable representations of texts through deep neural networks. Specifically, we leverage topic modeling to enrich deep learning data representations with meaning. To demonstrate the effectiveness of our proposed framework, we conducted a preliminary evaluation experiment on a testbed of fake review detection and our interpretable representations improves the state-of-the-art by almost 8 percent as measured by F1 score. Our study contributes to the IS community by opening the gate for future adoption of the state-of-the-art deep learning methods.;machine learning
Machine Learning Approach for Foot-side Classification using a Single Wearable Sensor;https://www.researchgate.net/publication/338344695_Machine_Learning_Approach_for_Foot-side_Classification_using_a_Single_Wearable_Sensor;Gait analysis is a common technique used to identify problems related to movement and posture in people with injuries, and foot-side detection is one of its important challenges. As many commercial sensors only provide limited information and traditional lab-based gait analysis is expensive, the aim of this study is to discriminate between left and right foot steps based on acceleration data from a single chest-worn accelerometer. To achieve this goal, an experimental study was conducted with 25 participants wearing an accelerometer on their chest and walking in a static environment. Several machine learning (ML) classifiers were trained to detect a foot-side from collected acceleration data. All machine learning classifiers achieved high classification accuracy, with Random Forest providing the best results. This result shows that ML-based foot-side classification using a single sensor is achievable and can contribute to develop an efficient health monitoring system to track lower limb’s problems.;machine learning
Finding the Unicorn: Predicting Early Stage Startup Success Through a Hybrid Intelligence Method;http://dx.doi.org/10.2139/ssrn.3159123;Artificial intelligence is an emerging topic and will soon be able to perform decisions better than humans. In more complex and creative contexts such as innovation, however, the question remains whether machines are superior to humans. Machines fail in two kinds of situations: processing and interpreting “soft” information (information that cannot be quantified) and making predictions in “unknowable risk” situations of extreme uncertainty. In such situations, the machine does not have representative information for a certain outcome. Thereby, humans are still the “gold standard” for assessing “soft” signals and make use intuition. To predict the success of startups, we, thus, combine the complementary capabilities of humans and machines in a Hybrid Intelligence method. To reach our aim, we follow a design science research approach to develop a Hybrid Intelligence method that combines the strength of both machine and collective intelligence to demonstrate its utility for predictions under extreme uncertainty.;machine learning
Deep Recurrent Neural Networks for Mortality Prediction in Intensive Care using Clinical Time Series at Multiple Resolutions;https://www.researchgate.net/publication/343944643_Deep_Recurrent_Neural_Networks_for_Mortality_Prediction_in_Intensive_Care_using_Clinical_Time_Series_at_Multiple_Resolutions;Mortality models in Intensive Care Units (ICU) are important for clinical decision support tasks such as identifying high-risk patients and prioritizing their care. Previous mortality models have used predictive variables mainly from Electronic Medical Records (EMR) where each patient observation can be represented as a sparse multivariate time series. Bedside monitors are another common data source in ICUs containing highresolution time series, which have not been explored in combination with EMR data for mortality modelling. We take the first step towards building such a model. Specialized techniques developed for sparse time series cannot be used to model multiple time series at different resolutions. To address this problem, we develop MTS-RNN, a new deep recurrent neural network architecture. Our preliminary experiments on real clinical data show that MTS-RNN outperforms state-of-the-art mortality models in predictive accuracy, highlighting the importance of using clinical time series at multiple resolutions for ICU mortality prediction.;machine learning
Augmented Intelligence for Quality Control of Manual Assembly Processes using Industrial Wearable Systems;https://aisel.aisnet.org/icis2019/mobile_iot/mobile_iot/9/;Empowered by machine learning and artificial intelligence innovations, IoT devices have become a leading driver of digital transformation. A promising approach are augmented intelligence solutions which seek to enhance human performance in complex tasks. However, there are no turn-key solutions for developing and implementing such systems. One possible avenue is to complement multi-purpose hardware with flexible AI solutions which are adapted to a given task. We illustrate the bottom-up development of a machine learning backend for an augmented intelligence system in the manufacturing sector. A wearable device equipped with highly sensitive sensors is paired with a deep convolutional neural network to monitor connector systems assembly processes in real-time. Our initial study yields promising results in an experimental environment. While this establishes the feasibility of the suggested approach, further evaluations in more complex test cases and ultimately, in a real-world assembly process have to be performed.;machine learning
Decision Support for Negotiation Protocol Selection: A Machine Learning Approach Based on Artificial Neural Networks;http://edoc.sub.uni-hamburg.de/hsu/volltexte/2014/3041/;Decision making in operational planning is increasingly affected by conflicting interests of different stakeholders such as subcontractors, customers, or strategic partners. Addressing this, automated negotiation is a well-suited mechanism to mediate between stakeholders and search for jointly beneficial agreements. However, the outcome of a negotiation is strongly dependent on the applied negotiation protocol defining the rules of encounter. Although protocol design is well discussed in literature, the question on which protocol should be selected for a given scenario is little regarded so far. Since negotiation problems and protocols are very diverse, the protocol choice itself is a challenging task. In this study, we propose a decision support system for negotiation protocol selection (DSS-NPS) that is based on a machine learning approach – an artificial neural network (ANN). Besides presenting and discussing the system, we, furthermore, evaluate the design artifact in elaborate computational experiments that take place in an intercompany machine scheduling environment. Our findings indicate that the proposed decision support system is able to improve the outcome of negotiations by finding adequate protocols dynamically on the basis of the underlying negotiation problem characteristics.;machine learning
Artificial Intelligence and Drug Innovation;https://core.ac.uk/download/pdf/301383955.pdf;We study how artificial intelligence (AI) can influence the drug development process in the global pharmaceutical industry. Despite considerable effort made in developing drugs, pharmaceutical firms experience declines in novelty for drugs they produced. As AI becomes an important general purpose technology (GPT), it could be used to address some known challenges in the drug development process. Using two large-scale datasets that contain detailed historical records of global drug development and patents, we identify AI-related patents to approximate firms’ AI capabilities and construct a relatively new similarity-based metric to measure drug novelty based on their chemical structure. We find that AI can primarily affect the earliest stage in drug discovery when tasks are heavily dependent on automatic data processing and reasoning. However, it may not necessarily help with the more expensive and risky clinical trial stages that require substantial human engagements and interventions. Additionally, AI can facilitate the development for drugs at the medium level of chemical novelty more than at the extreme ends of the spectrum. Our study sheds light on the understanding of the roles and limitations modern technology can have on drug development, one of the most complex innovation processes in the world.;machine learning
GOOD, BAD, OR BOTH? MEASUREMENT OF PHYSICIAN’S AMBIVALENT ATTITUDES TOWARDS AI;https://aisel.aisnet.org/ecis2019_rp/115/;Artificial intelligence is currently one of the most controversial discussed technologies across various work domains. In healthcare, AI fosters widespread positive beliefs of substantially increasing the quality of care, yet evoking physicians’ fears of being marginalized or replaced. The described controversy leads to ambivalent attitudes, as physicians hold both strong positive and negative evaluations at the same time. However, current research in information systems has not been able to measure ambivalence because uni-polar attitude scales cannot assess this construct. Additionally, it is unclear whether ambivalence has positive or negative consequences and how it is related to resistance to change. In the context of AI in healthcare, we conducted a survey study (n=74) to measure context-specific attitudes and attitude ambivalence of physicians. We distinguish between two states of ambivalence and show that physicians who experience an inner conflict (Felt Ambivalence) from conflicting attitudes (Potential Ambivalence) develop resistance to change. Moreover, including ambivalence into a regression model explains more variance than uni-polar attitudes alone. With this research, we show that ambivalent attitudes can be measured in the context of technological change. Additionally, we explore how context-specific attitudes towards AI in healthcare drive physicians’ ambivalence towards it.;machine learning
A Survey of the Application of Machine Learning in Decision Support Systems;https://aisel.aisnet.org/ecis2015_cr/133/;Machine learning is a useful technology for decision support systems and assumes greater importance in research and practice. Whilst much of the work focuses technical implementations and the adaption of machine learning algorithms to application domains, the factors of machine learning design affecting the usefulness of decision support are still understudied. To enhance the understanding of machine learning and its use in decision support systems, we report the results of our content analysis of design-oriented research published between 1994 and 2013 in major Information Systems outlets. The findings suggest that the usefulness of machine learning for supporting decision-makers is dependent on the task, the phase of decision-making, and the applied technologies. We also report about the advantages and limitations of prior research, the applied evaluation methods and implications for future decision support research. Our findings suggest that future decision support research should shed more light on organizational and people-related evaluation criteria.;machine learning
TOWARDS AN INTEGRATIVE THEORETICAL FRAMEWORK OF INTERACTIVE MACHINE LEARNING SYSTEMS;https://aisel.aisnet.org/ecis2019_rp/172/;Interactive machine learning (IML) is a learning process in which a user interacts with a system to iteratively define and optimise a model. Although recent years have illustrated the proliferation of IML systems in the fields of Human-Computer Interaction (HCI), Information Systems (IS), and Computer Science (CS), current research results are scattered leading to a lack of integration of existing work on IML. Furthermore, due to diverging functionalities and purposes IML systems can refer to, an uncertainty exists regarding the underlying distinct capabilities that constitute this class of systems. By reviewing extensive IML literature, this paper suggests an integrative theoretical framework for IML systems to address these current impediments. Reviewing 2,879 studies in leading journals and conferences during the years 1966-2018, we found an extensive range of applications areas that have implemented IML systems and the necessity to standardise the evaluation of those systems. Our framework offers an essential step to provide a theoretical foundation to integrate concepts and findings across different fields of research. The main contribution of this paper is organising and structuring the body of knowledge in IML for the advancement of the field. Furthermore, we suggest three opportunities for future IML research. From a practical point of view, our integrative theoretical framework can serve as a reference guide to inform the design and implementation of IML systems.;machine learning
Intelligent Agents as a Modeling Paradigm;https://aisel.aisnet.org/icis2005/15/;Intelligent software agents have been used in many applications because they provide useful integrated features that are not available in “traditional” types of software (e.g., abilities to sense the environment, reason, and interact with other agents). Although the usefulness of agents is in having such capabilities, methods and tools for developing them have focused on practical physical representation rather than accurate conceptualizations of these functions. However, intelligent agents should closely mimic aspects of the environment in which they operate. In the physical sciences, a conceptual model of a problem can lead to better theories and explanations about the area. Therefore, we ask, can an intelligent agent conceptual framework, properly defined, be used to model complex interactions in various social science disciplines? The constructs used in the implementation of intelligent agents may not be appropriate at the conceptual level, as they refer to software concepts rather than to application domain concepts. We propose to use a combina- tion of the systems approach and Bunge’s ontology as adapted to information systems, to guide us in defining intelligent agent concepts. The systems approach will be used to define the components of the intelligent agents and ontology will be used to understand the configurations and interrelationships between the components. We will then provide a graphical representation of these concepts for modeling purposes. As a proof of concept for the proposed conceptual model, we applied it to a marketing problem and imple- mented it in an agent-based programming environment. Using the conceptual model, the user was able to quickly visualize the complex interactions of the agents. The use of the conceptual representation even sparked an investigation of previously neglected causal factors which led to a better understanding of the problem. Therefore, our intelligent agent framework can graphically model phenomena in the social sciences. This work also provides a theoretically driven concept of intelligent agent components and a definition of the inter- relationships between these concepts. Further research avenues are also discussed.;machine learning
Making Business Predictions by Combining Human and Machine Intelligence in Prediction Markets;https://www.researchgate.net/publication/221599614_Making_Business_Predictions_by_Combining_Human_and_Machine_Intelligence_in_Prediction_Markets;Computers can use vast amounts of data to make predictions that are often more accurate than those by human experts. Yet, humans are more adept at processing unstructured information and at recognizing unusual circumstances and their consequences. Can we combine predictions from humans and machines to get predictions that are better than either could do alone? We used prediction markets to combine predictions from groups of people and artificial intelligence agents. We found that the combined predictions were both more accurate and more robust than those made by groups of only people or only machines. This combined approach may be especially useful in situations where patterns are difficult to discern, where data are difficult to codify, or where sudden changes occur unexpectedly;machine learning
Transfer Learning in Dynamic Business Environments: An Application in Earnings Forecast for Public Firms;https://aisel.aisnet.org/icis2019/data_science/data_science/6/;In dynamic business environments, the underlying true data pattern changes rapidly. Machine learning models built upon historical data may not be responsive to the changes. A simple solution is to re-train a machine learning model using the re-collected current data. However, current data are often scarce. Therefore, it would be optimal to adapt the machine learning model built on historical data to the current period. In this study, we propose a two-step transfer learning method for enhancing machine learning in dynamic data environments. Our insight is that, by comparing current data and historical data, we gain information on the change of data environments, which guides the training of machine learning using historical and current data sets simultaneously. In this research-in-progress, we evaluate our method and an existing state-of-art algorithm in the earnings prediction tasks. Preliminary results show the effectiveness of transfer learning in dynamic business environments.;machine learning
Effective Sentiment Analysis of Corporate Financial Reports;https://aisel.aisnet.org/icis2013/proceedings/ResearchInProgress/55/;Sentiment analysis is widely adopted in studying various important topics in business intelligence. Though many studies reported interesting results by using machine learning, the lack of theoretic analysis and the shortage of practical guidance are hurdles of theory development. Besides, due to the difficulty in labeling data, the effectiveness of sentiment analysis with only labelled data needs to be questioned. In this paper, we drew on statistical learning theory to perform extensive theoretic analysis in sentiment analysis by using real corporate financial reports. We investigated when and why machine learning methods provide preferred performance under the guidance of the theory. We also provided practical suggestions in applying machine learning methods for both researchers and practitioners. In addition, we utilized the cheap and ubiquitous unlabeled data to further improve the sentiment analysis performance. This has the potential to largely reduce the manual data labeling work and to scale up the experiments.;machine learning
Personalized explanation in machine learning: A conceptualization;https://doi.org/10.48550/arXiv.1901.00770;Explanation in machine learning and related fields such as artificial intelligence aims at making machine learning models and their decisions understandable to humans. Existing work suggests that personalizing explanations might help to improve understandability. In this work, we derive a conceptualization of personalized explanation by defining and structuring the problem based on prior work on machine learning explanation, personalization (in machine learning) and concepts and techniques from other domains such as privacy and knowledge elicitation. We perform a categorization of explainee data used in the process of personalization as well as describing means to collect this data. We also identify three key explanation properties that are amendable to personalization: complexity, decision information and presentation. We also enhance existing work on explanation by introducing additional desiderata and measures to quantify the quality of personalized explanations.;machine learning
Advancing Recommendations on Two-Sided Platforms: A Machine Learning Approach to Context-Aware Profiling;https://aisel.aisnet.org/icis2019/data_science/data_science/21/;Digitally enabled two-sided platforms rely on mediating different actors to evoke transactions. Here, the core value-generating mechanisms of these platforms relate to the recommendations that persuade users to make future transactions, thereby driving sales, customer satisfaction, efficiency, and trust. To generate effective recommendations, accurate user profiling is fundamental. Ubiquitous computing provides valuable data to enhance user profiling by uncovering behavioral patterns of individual users. Specifically, through machine learning methods, recommendation systems are able to understand users better by considering both past individual behaviors and their respective contexts. However, state-of-the-art recommendation systems rely either on collaborative or content-based approaches, thereby neglecting a user’s time-varying contexts and the dynamics that influence these contexts. We address this shortcoming by developing a context-aware and user-specific hybrid recommendation system using transfer-learning techniques based on (recurrent) neural networks. Evaluating our approach on Expedia’s hotel booking data, we demonstrate its enhanced performance compared to common recommendation approaches.;machine learning
Towards a Future Reallocation of Work between Humans and Machines – Taxonomy of Tasks and Interaction Types in the Context of Machine Learning;https://aisel.aisnet.org/icis2017/TransformingSociety/Presentations/14/;In today’s race for competitive advantages, more and more companies implement innovations in artificial intelligence and machine learning (ML). Although these machines take over tasks that have been executed by humans, they will not make human workforce obsolete. To leverage the potentials of ML, collaboration between humans and machines is necessary. Before collaboration processes can be developed, a classification of tasks in the field of ML is needed. Therefore, we present a taxonomy for the classification of tasks due to their complexity and the type of interaction. To derive insights about typical tasks and task-complexity, we conducted a literature review as well as a focus group workshop. We identified three levels of task-complexity and three types of interactions. Connecting them reveals three generic types of tasks. We provide prescriptive knowledge inherent in the task/interaction-taxonomy.;machine learning
A Customized and Interpretable Deep Neural Network for High-Dimensional Business Data - Evidence from an E-Commerce Application;https://aisel.aisnet.org/icis2017/DataScience/Presentations/13/;Extracting actionable information from complex data is a key challenge for business analytics researchers (Hedgebeth, 2007). This is particularly difficult for high-dimensional datasets, to which an increasing number of businesses have access (Martens et al., 2016). In this study, we develop a customized neural network for extracting interpretable features from very high-dimensional datasets. These features can be interpreted both at an aggregated as well as a very fine-grained level. Interpreting non-linear interactions is no more difficult than interpreting a linear regression. We apply the algorithm to a dataset related to product returns in online retail which contains a total of 3,637,654 transactions and 13,533 dimensions. Comparing 75 different models, we demonstrate that, in addition to being interpretable, our algorithm yields higher predictive accuracy than extant methods. The approach is sufficiently abstract to be applicable to a wide variety of business analytics datasets.;machine learning
Hiring Algorithms: An Ethnography of Fairness in Practice;https://aisel.aisnet.org/icis2019/future_of_work/future_work/6/;While increasing attention in society is given to the role of AI in affording and threatening ethical values, such as fairness, little is known about how ethical values and AI are played out in organizations. Building on an ethnographic in-depth study of a large multinational company that recently implemented AI to enable a fair recruitment process, we show that AI brings to the fore the role of fairness in decision-making in several ways. We reveal that the development and use of AI does not necessarily improve nor degrade ethical values, but instead shapes what comes to be understood as ethical in the first place. We extend the conversations on AI by showing that it may not be enough to focus on changes in work practices, occupational boundaries, and power relations, but that research should take into account the role of AI in shaping what we consider ethical.;machine learning
The Impact of Deep Learning on Organizational Agility;https://aisel.aisnet.org/icis2019/governance_is/governance_is/26/;Artificial intelligence advances business model, strategizes competitive resources, and impacts on organizational agility. Deep learning as a subset of AI brings changes in different aspects that substantially influences organizational capabilities. We argue that deep learning enables new conceptualization of organizational agility. We will conduct a case study in a leading Chinese FinTech company to inductively ground these impacts.;machine learning
Does AI-based Credit Scoring Improve Financial Inclusion? Evidence from Online Payday Lending;https://aisel.aisnet.org/icis2019/blockchain_fintech/blockchain_fintech/20/;Artificial intelligence (AI) has become ubiquitous in the consumer finance industry. One of the major AI applications in this industry is AI-based credit scoring models. We investigate whether AI applications improve financial inclusion, as measured by three seemingly contradictory metrics, i.e. approval rate, default rate, and false rejection rate. We cooperate with an AI solution provider whose AI-based credit scoring models are widely used by online lenders in China. Using data obtained from these online lenders, we find that AI-based credit scoring models increase approval rate and reduce default rate simultaneously, which enhances both the magnitude and the quality of financial inclusion. AI-based credit scoring models also tend to reduce false rejection rate, suggesting that they can help provide access to capital to a previously underserved population. We plan to collect more data and conduct additional analyses in the future to enrich our current findings and explore for underlying mechanisms.;machine learning
Displaced or Augmented? How does Artificial Intelligence Affect Our Jobs: Evidence from LinkedIn;https://aisel.aisnet.org/icis2019/economics_is/economics_is/28/;With the rapid advances of artificial intelligence (AI), increasingly more job tasks can be automated. Despite the AI hype, we know little about the extent to which AI may destroy or augment the career of different occupations of professionals. Although most existing literature focused on creating AI automation scores for each occupation, AI may automate non-critical tasks for many occupations which indirectly increases the productivity and value creation of jobs. Therefore, we develop a novel method to estimate the AI automation scores for core and supplemental work activities of all major occupations and analyze how employees’ human capital characteristics may lead to different results: being augmented or displaced by AI. Particularly, skills accumulated from prior work experiences and excellent educational background can reduce the automation risks. Additionally, professionals with major in computing, law, and medicine are more likely to be augmented since only their supplemental work activities may be automated.;machine learning
EXPLAINING CUSTOMER ACTIVATION WITH DEEP ATTENTION MODELS;https://aisel.aisnet.org/ecis2019_rp/151/;Effectively informing consumers is a big challenge for financial service providers. Triggering involvement in the personal situation of the client is a result of sending relevant information at the right time. While general machine learning techniques are able to accurately predict the behavior of consumers, they tend to lack interpretability. This is a problem since interpretation aims at producing the information a communication department requires to be able to trigger involvement. In this paper we provide a solution for predicting and explaining customer activation as result of a series of events, by means of deep learning and attention models. The proposed solution is applied to data concerning the activity of pension fund participants and compared to standard machine learning techniques on both accuracy and interpretability. We conclude that the attention based model is as accurate as top tier machine learning algorithms in predicting customer activation, while being able to extract the key events in the communication with a single customer. This results in the ability to help understand the needs of customers on a personal level and to construct an individual marketing strategy for each customer.;machine learning
